Satellite.A1ModJulian     Satellite.EarthMJ2000Eq.X   
21545.00037076831         7085.792730884587           
21545.00106521275         7065.884156286719           
21545.00215805522         6979.825892643465           
21545.00330903975         6817.858665791383           
21545.0044682824          6582.666271599931           
21545.00562994407         6277.126739091589           
21545.0067932718          5904.493602596338           
21545.00795810306         5468.663698282329           
21545.00912430818         4974.219922699918           
21545.01029176101         4426.386888216771           
21545.01146029693         3830.995564871886           
21545.01262975838         3194.401299599868           
21545.01379997516         2523.424384021219           
21545.01497076604         1825.275871588504           
21545.01614194943         1107.472594045562           
21545.01731333111         377.7617541663936           
21545.01848471507         -355.9714020891202          
21545.0196559115          -1085.796569219548          
21545.02082672231         -1803.818040074506          
21545.02199697532         -2502.283840794727          
21545.02316649178         -3173.651937717909          
21545.0243350917          -3810.678300664094          
21545.02550260128         -4406.502591956228          
21545.02666887663         -4954.735640126677          
21545.02783378004         -5449.515986322114          
21545.02899718458         -5885.576252693442          
21545.03015899343         -6258.305815807411          
21545.0313191079          -6563.787255716727          
21545.03247746516         -6798.847892573795          
21545.03363401569         -6961.082533397656          
21545.03478872415         -7048.876759399815          
21545.03594157548         -7061.420931704122          
21545.0370925821          -6998.712743721243          
21545.03824177379         -6861.550684981063          
21545.03938919446         -6651.521284803001          
21545.04053491417         -6370.974950121635          
21545.04167900815         -6023.000429960711          
21545.0428215697          -5611.385878523311          
21545.0439627344          -5140.56334082849           
21545.04510263194         -4615.575239511324          
21545.04624139273         -4042.020051926573          
21545.04737917217         -3425.980224659325          
21545.04851615601         -2773.951383441382          
21545.04965250202         -2092.807213664531          
21545.05078840264         -1389.693173420964          
21545.05135168982         -1035.072737268916          
21545.05204613427         -594.2557169746923          
21545.05312110515         92.13348537874913           
21545.05424978273         811.7555258552926           
21545.05538494437         1526.916380281333           
21545.05652127559         2226.61474434132            
21545.0576583596          2903.149866620291           
21545.05879628978         3549.385732206233           
21545.05993522109         4158.534930528251           
21545.06107529555         4724.182513324396           
21545.06221665633         5240.359114235691           
21545.06335944299         5701.598580774264           
21545.06450375386         6102.980957921668           
21545.06564968745         6440.203729092016           
21545.06679734058         6709.624501923605           
21545.06794676783         6908.291903431278           
21545.06909800645         7033.989972413255           
21545.07025108991         7085.26593511467            
21545.07140600882         7061.447691312544           
21545.07256276693         6962.657282650981           
21545.0737213277          6789.814310760132           
21545.07488162405         6544.635988764993           
21545.07604360319         6229.614108109534           
21545.07720716605         5848.005423860933           
21545.07837219443         5403.798335290362           
21545.07953858442         4901.65908407537            
21545.08070619423         4346.903793444622           
21545.08187485767         3745.441760535027           
21545.08304444002         3103.683580884182           
21545.0842147556          2428.514753576323           
21545.08538561554         1727.197942582988           
21545.08647829817         1055.983310051127           
